#;Title;Authors;Year (source);Venue;DOI;Source URL
91;Rubric Is All You Need: Improving LLM-Based Code Evaluation With Question-Specific Rubrics;Aditya Pathak and Rachit Gandhi and Vaibhav Uttam and Arnav Ramamoorthy and Pratyush Ghosh and Aaryan Raj Jindal and Shreyash Verma and Aditya Mittal and Aashna Ased and Chirag Khatri and Yashwanth Nakka and Devansh and Jagat Sesh Challa and Dhruv Kumar;2025;Proceedings of the 2025 ACM Conference on International Computing Education Research V.1;10.1145/3702652.3744220;https://doi.org/10.1145/3702652.3744220
92;SCG_FBS: A Code Grading Model for Students' Program in Programming Education;Qin, Yuze and Sun, Guangzhong and Li, Jianfeng and Hu, Tianyu and He, Yu;2021;Proceedings of the 2021 13th International Conference on Machine Learning and Computing;10.1145/3457682.3457714;https://doi.org/10.1145/3457682.3457714
93;Speeding Up Automated Assessment of Programming Exercises;Sarsa, Sami and Leinonen, Juho and Koutcheme, Charles and Hellas, Arto;2022;Proceedings of the 2022 Conference on United Kingdom \& Ireland Computing Education Research;10.1145/3555009.3555013;https://doi.org/10.1145/3555009.3555013
94;Student Mastery or AI Deception? Analyzing ChatGPT's Assessment Proficiency and Evaluating Detection Strategies;Wang, Kevin and Akins, Seth and Mohammed, Abdallah and Lawrence, Ramon;2023;arXiv / CoRR;;https://arxiv.org/abs/2311.16292
95;Student Outcome Assessment on Structured Query Language using Rubrics and Automated Feedback Generation;Nayak, Sidhidatri and Agarwal, Reshu and Khatri, Sunil Kumar and Mohammadian, Masoud;2024;International Journal of Advanced Computer Science and Applications;10.14569/IJACSA.2024.0150374;https://doi.org/10.14569/IJACSA.2024.0150374
96;Student's Academic Performance Prediction in The Programming Techniques Course By Using Machine Learning Methods;Huy-Le, Quoc and Pham-Thi, Thiet and Huynh-Tuong, Nguyen and Vo, Khoa and Vu-Van, Tien and Tran, Huy;2024;2024 IEEE 30th International Conference on Telecommunications (ICT);10.1109/ICT62760.2024.10606021;https://doi.org/10.1109/ICT62760.2024.10606021
97;SynShine: Improved Fixing of Syntax Errors;Ahmed, Toufique and Ledesma, Noah Rose and Devanbu, Premkumar;2023;IEEE Trans. Softw. Eng.;10.1109/TSE.2022.3212635;https://doi.org/10.1109/TSE.2022.3212635
98;System for Detecting Learner Stuck in Programming Learning;Oka, Hiroki and Ohnishi, Ayumi and Terada, Tsutomu and Tsukamoto, Masahiko;2023;Sensors;10.3390/s23125739;https://doi.org/10.3390/s23125739
99;The AI Companion in Education: Analyzing the Pedagogical Potential of ChatGPT in Computer Science and Engineering;He, Zhangying and Nguyen, Thomas and Miari, Tahereh and Aliasgari, Mehrdad and Rafatirad, Setareh and Sayadi, Hossein;2024;2024 IEEE Global Engineering Education Conference (EDUCON);10.1109/EDUCON60312.2024.10578820;https://doi.org/10.1109/EDUCON60312.2024.10578820
100;Tinkering Behavior Detector Using Multiple Linear Regression: Development of Intelligent Tutoring System for Novice C Programmers;Arguson, Angelo C. and Moraga, Shirley D. and Vinluan, Albert A. and Gonzales, Dennis B.;2023;2023 IEEE 15th International Conference on Humanoid, Nanotechnology, Information Technology, Communication and Control, Environment, and Management (HNICEM);10.1109/HNICEM60674.2023.10589157;https://doi.org/10.1109/HNICEM60674.2023.10589157
101;Toward semi-automatic misconception discovery using code embeddings;Shi, Yang and Shah, Krupal and Wang, Wengran and Marwan, Samiha and Penmetsa, Poorvaja and Price, Thomas;2021;Proceedings of the 11th International Learning Analytics and Knowledge Conference (LAK21);10.1145/3448139.3448205;https://doi.org/10.1145/3448139.3448205
102;Towards Deep Learning Models for Automatic Computer Program Grading;Nagy, Peter and Davoudi, Heidar;2023;2023 IEEE 10th International Conference on Data Science and Advanced Analytics (DSAA);10.1109/DSAA60987.2023.10302571;https://doi.org/10.1109/DSAA60987.2023.10302571
103;Traditional and AI Tools for Teaching Concurrency;Dewan, Prasun;2023;2023 IEEE 30th International Conference on High Performance Computing, Data, and Analytics Workshop (HiPCW);10.1109/HiPCW61695.2023.00014;https://doi.org/10.1109/HiPCW61695.2023.00014
104;Unveiling Hidden Patterns: Clustering Algorithms on C Code embedding;M, Spoorthi and Savant, Richa Vivek and Seshadri, Samarth and Narmada, Nakka and Pati, Peeta Basa;2024;2024 IEEE 9th International Conference for Convergence in Technology (I2CT);10.1109/I2CT61223.2024.10543306;https://doi.org/10.1109/I2CT61223.2024.10543306
105;Using GenAI to Assess Design Patterns in Student-Written Code;D. -F. Dosaru, D. -M. Simion, A. -H. Ignat, L. -C. Negreanu and A. -C. Olteanu;2025;IEEE Transactions on Learning Technologies;10.1109/TLT.2025.3604054;https://doi.org/10.1109/TLT.2025.3604054
106;Using Machine Learning to Identify Patterns in Learner-Submitted Code for the Purpose of Assessment;Tarcsay, Botond and Perez-Tellez, Fernando and Vasic, Jelena;2023;Pattern Recognition. MCPR 2023. Lecture Notes in Computer Science, vol 13902;10.1007/978-3-031-33783-3_5;https://doi.org/10.1007/978-3-031-33783-3_5
